source_plot_id,lat,lon,year,species,trees_per_acre,trees_per_hectare
7382102010661,39.41676,-78.63863,1989,806.0,59.606,147.289633
7382161010661,39.38899,-78.69418,1989,400.0,540.1926,1334.844982
7382226010661,39.36121,-78.72196,1989,132.0,616.166,1522.579342
7382259010661,39.33343,-78.69418,1989,Unknown,,
7382275010661,39.33343,-78.63862,1989,Unknown,,
7382286010661,39.2501,-78.6664,1989,Unknown,,
7382296010661,39.22233,-78.72196,1989,837.0,16.4138,40.559383
7382324010661,39.22233,-78.63862,1989,833.0,499.0277,1233.124299
7382383010661,39.16677,-78.77752,1989,693.0,268.5026,663.484373
7382420010661,39.16677,-78.69418,1989,491.0,1705.2813,4213.841853
7382495010661,39.16677,-78.72196,1989,Unknown,,
7382504010661,39.13899,-78.69418,1989,316.0,1529.4181,3779.274423
7382546010661,39.38899,-78.77752,1989,802.0,339.3481,838.547415
7382609010661,39.36121,-78.8053,1989,693.0,765.4479,1891.46295
7382673010661,39.27788,-78.86085,1989,602.0,67.7955,167.526329
7382699010661,39.2501,-78.8053,1989,824.0,347.8805,859.631435
7382747010661,39.22233,-78.86086,1989,812.0,525.1086,1297.571607
7382790010661,39.19455,-78.69418,1989,400.0,338.7623,837.099872
7382843010661,39.30566,-78.88863,1989,Unknown,,
7382855010661,39.19455,-78.47195,1989,129.0,552.5492,1365.378806
7382945010661,39.13899,-78.44417,1989,316.0,62.7284,155.005252
7383000010661,39.16677,-78.44417,1989,491.0,952.2319,2353.016264
7383061010661,39.2501,-78.44417,1989,802.0,176.6445,436.498065
7383139010661,39.22233,-78.4164,1989,Unknown,,
7383155010661,39.27788,-78.44417,1989,972.0,43.4108,107.270423
7383181010661,39.33343,-78.4164,1989,129.0,740.2498,1829.197089
7383292010661,39.27788,-78.52751,1989,802.0,313.817,775.458693
7383340010661,39.38899,-78.36084,1989,491.0,1020.3109,2521.243137
7383404010661,39.11122,-78.55529,1989,Unknown,,
7383414010661,39.27788,-78.6664,1989,Unknown,,
7383429010661,39.2501,-78.63862,1989,Unknown,,
7383444010661,39.2501,-78.49973,1989,Unknown,,
7383459010661,39.314071,-78.659428,1989,Unknown,,
7383468010661,39.314071,-78.659428,1989,Unknown,,
7383887010661,38.91678,-78.86086,1989,400.0,762.408,1883.951193
7383943010661,38.86122,-78.86086,1989,802.0,1195.3656,2953.81272
7384012010661,38.86122,-78.99975,1989,132.0,100.06,247.253644
7384051010661,39.11122,-78.99975,1989,832.0,567.623,1402.626977
7384113010661,38.86122,-79.08309,1989,372.0,477.56,1180.076458
7384186010661,38.86122,-78.94419,1989,837.0,472.9794,1168.757548
7384255010661,38.889,-78.88864,1989,400.0,346.6534,856.599205
7384298010661,38.83345,-78.91642,1989,132.0,254.5452,628.994886
7384359010661,38.83345,-79.02753,1989,356.0,446.2136,1102.617816
7384415010661,38.94455,-79.1942,1989,491.0,431.0861,1065.23695
7384478010661,39.19455,-79.11087,1989,132.0,205.4628,507.709635
7384526010661,39.08344,-78.99975,1989,372.0,205.2117,507.089153
7384574010661,39.00011,-78.99975,1989,491.0,1133.644,2801.295325
7384629010661,38.94455,-78.91642,1989,832.0,198.2316,489.84095
7384691010661,39.02789,-78.83308,1989,491.0,864.6675,2136.63992
7384752010661,39.08344,-78.88864,1989,316.0,408.5101,1009.450439
7384814010661,39.02789,-78.88864,1989,491.0,445.7852,1101.559217
7384856010661,38.94455,-78.83308,1989,132.0,729.296,1802.129659
7384925010661,38.97233,-78.86086,1989,901.0,547.2328,1352.241695
7384963010661,39.05566,-78.77752,1989,316.0,821.8045,2030.723141
7385032010661,38.97233,-78.77752,1989,132.0,653.4907,1614.810684
7385060010661,38.94455,-78.77752,1989,491.0,1715.9578,4240.224059
7385111010661,38.91678,-78.69418,1989,802.0,1164.4486,2877.41515
7385157010661,38.97233,-78.6664,1989,901.0,750.4391,1854.375397
7385208010661,39.08344,-78.6664,1989,832.0,205.13,506.887268
7385248010661,38.97233,-78.58307,1989,316.0,555.0727,1371.61451
7385288010661,39.02789,-78.55529,1989,693.0,431.9006,1067.249623
7385363010661,39.02789,-78.63863,1989,837.0,174.3817,430.906564
7385397010661,39.08344,-78.69418,1989,132.0,762.8508,1885.045376
7385474010661,38.91678,-78.86086,1989,802.0,1040.4856,2571.095906
7385529010661,39.11122,-79.02753,1989,832.0,123.2798,304.631019
7385587010661,39.08344,-78.63863,1989,832.0,423.9881,1047.69741
7385634010661,39.05566,-78.8053,1989,802.0,228.6193,564.930592
7385693010661,39.05566,-78.94419,1989,832.0,54.3222,134.233079
7385716010661,38.94455,-79.22198,1989,471.0,465.2525,1149.663963
7385739010661,39.08344,-78.58307,1989,316.0,392.7974,970.623512
7385810010661,39.08344,-78.77752,1989,802.0,381.0156,941.51005
7385878010661,39.08344,-78.8053,1989,Unknown,,
7385894010661,39.08344,-78.69418,1989,693.0,640.4903,1582.685996
7385959010661,39.05566,-78.83308,1989,693.0,1052.7164,2601.318871
7386032010661,39.02789,-78.77752,1989,802.0,1425.5285,3522.557631
7386096010661,39.02789,-78.83308,1989,660.0,10.6608,26.34341
7386117010661,39.00011,-78.83308,1989,Unknown,,
7386132010661,39.00011,-78.77752,1989,Unknown,,
7386148010661,38.97233,-78.83308,1989,356.0,565.5818,1397.583062
7386208010661,38.97233,-78.94419,1989,693.0,402.9584,995.73189
7386269010661,39.05566,-78.91641,1989,132.0,432.0293,1067.567648
7386336010661,39.11122,-78.99975,1989,Unknown,,
7386344010661,39.139,-78.94419,1989,Unknown,,
7386359010661,39.22233,-78.97197,1989,491.0,402.6489,994.967098
7386432010661,39.19455,-78.99975,1989,762.0,835.381,2064.271403
7386485010661,38.97233,-78.72196,1989,Unknown,,
7386494010661,38.80567,-78.83308,1989,491.0,381.4068,942.476726
7386562010661,38.889,-78.86086,1989,762.0,235.0617,580.850109
7386596010661,38.889,-78.8053,1989,315.0,1119.7526,2766.968928
7386659010661,38.889,-78.77752,1989,837.0,149.1467,368.549521
7386705010661,38.97233,-78.74974,1989,693.0,779.4726,1926.118738
7386765010661,38.91678,-78.8053,1989,Unknown,,
7386776010661,38.97233,-78.97197,1989,837.0,1130.2214,2792.837897
7386843010661,38.97233,-78.91642,1989,693.0,629.3893,1555.254828
7386910010661,38.889,-78.91642,1989,Unknown,,
7386927010661,38.889,-78.99975,1989,832.0,154.3826,381.487712
7386982010661,38.889,-78.91642,1989,400.0,862.051,2130.174408
7387071010661,38.97233,-78.61085,1989,318.0,289.1434,714.4889
7387116010661,38.97233,-78.58307,1989,Unknown,,
7387128010661,38.83345,-78.91642,1989,837.0,544.8654,1346.391723
7387195010661,38.80567,-78.88864,1989,901.0,323.2565,798.784206
7387240010661,38.80567,-79.11087,1989,Unknown,,
7387248010661,38.80567,-79.05531,1989,802.0,432.1609,1067.892838
7387310010661,38.86122,-79.02753,1989,802.0,165.4526,408.842278
7387372010661,38.83345,-79.02753,1989,701.0,504.3237,1246.211
7387423010661,38.91678,-79.02753,1989,491.0,385.2799,952.047365
7387491010661,39.00011,-78.83308,1989,132.0,1042.5054,2576.086941
7387552010661,39.00011,-78.61085,1989,Unknown,,
7387567010661,39.00011,-78.8053,1989,Unknown,,
7387581010661,38.97233,-78.6664,1989,Unknown,,
7387597010661,38.80567,-79.08309,1989,Unknown,,
7387614010661,38.999518,-78.821227,1989,Unknown,,
7387622010661,38.999518,-78.821227,1989,Unknown,,
7387635010661,38.999518,-78.821227,1989,Unknown,,
7387644010661,38.999518,-78.821227,1989,Unknown,,
7387652010661,39.38898,-80.33314,1989,318.0,309.9721,765.957739
7387700010661,39.41675,-80.44426,1989,316.0,69.0133,170.535578
7387743010661,39.25009,-80.22203,1989,621.0,295.2708,729.630035
7387790010661,39.25009,-80.30537,1989,531.0,823.5895,2035.133972
7387843010661,39.38898,-80.44426,1989,391.0,496.1947,1226.123804
7387874010661,39.16676,-80.49982,1989,975.0,790.3621,1953.027278
7387932010661,39.41675,-80.44426,1989,318.0,389.804,963.226659
7388007010661,39.19453,-80.47204,1989,975.0,459.4815,1135.403511
7388056010661,39.11121,-80.30537,1989,316.0,331.558,819.297659
7388092010661,39.3612,-80.22203,1989,621.0,233.5919,577.218154
7388116010661,39.30565,-80.22203,1989,Unknown,,
7388125010661,39.16676,-80.22203,1989,Unknown,,
7388136010661,39.3612,-80.33314,1989,Unknown,,
7388150010661,39.25009,-80.36092,1989,621.0,171.8823,424.730412
7388207010661,39.13898,-80.3887,1989,Unknown,,
7388215010661,39.41675,-80.49981,1989,541.0,428.6543,1059.227841
7388276010661,39.30564,-80.55537,1989,901.0,18.4883,45.685584
7388293010661,39.11121,-80.22203,1989,901.0,273.5827,676.037573
7388318010661,39.19454,-80.19425,1989,318.0,163.9446,405.115928
7388387010661,39.22232,-80.16647,1989,318.0,545.1449,1347.082382
7388445010661,39.25009,-80.19425,1989,Unknown,,
7388453010661,39.33342,-80.30537,1989,762.0,71.5788,176.875066
7388483010661,39.38898,-80.36092,1989,Unknown,,
7388491010661,39.3612,-80.36092,1989,318.0,179.8367,444.386163
7388563010661,39.3612,-80.19425,1989,972.0,697.6773,1723.99815
7388599010661,39.30564,-80.36092,1989,Unknown,,
7388616010661,39.27787,-80.36092,1989,Unknown,,
